,precision,recall,f1-score,support
0,0.8157894736842105,0.8051948051948052,0.8104575163398693,77.0
1,0.9972451790633609,0.9972451790633609,0.9972451790633609,363.0
2,1.0,0.999409216226861,0.9997045208312814,5078.0
3,0.9984389228567712,0.9985688264376789,0.9985038704221687,7686.0
4,0.9995787547991863,0.9992660594612155,0.9994223826714801,83113.0
5,0.9898043538164784,0.9983324068927182,0.9940500899405009,3598.0
6,0.963855421686747,0.9411764705882353,0.9523809523809523,85.0
accuracy,0.99898,0.99898,0.99898,0.99898
macro avg,0.966387443700965,0.9627418519806964,0.9645377873785163,100000.0
weighted avg,0.9989805017405066,0.99898,0.9989794262913724,100000.0
